step,r,R,sigma,coh,rho,mood,empathy,gamma,omega_cum,joy,calm,awe,stress,collatz
63,0.004876,0.999998,0.795708,0.265043,0.982454,0.638138,0.773441,1.2,0.639999,1.0,0.7793,0.0396,0.7809,-3.2779
64,0.00365,0.999999,0.798323,0.324748,0.981147,0.653685,0.773846,1.2,0.649999,1.0,0.7821,0.0364,0.7651,-3.1925
65,0.013691,0.999997,0.800899,0.32066,0.98195,0.657661,0.774354,1.2,0.659999,1.0,0.7849,0.0412,0.7522,-3.1667
66,0.001291,0.999998,0.803438,0.24367,0.981124,0.657687,0.774761,1.2,0.669999,1.0,0.7877,0.036,0.7528,-3.1471
67,0.000995,0.999998,0.80594,0.174038,0.982697,0.660038,0.77459,1.2,0.679999,1.0,0.7905,0.0313,0.7638,-3.1673
68,0.001832,0.999996,0.808406,0.136003,0.982177,0.636366,0.774391,1.2,0.689999,1.0,0.7931,0.028,0.7788,-3.2709
69,0.00142,0.999998,0.810837,0.122496,0.982609,0.64033,0.774004,1.2,0.699999,1.0,0.7958,0.0249,0.7936,-3.2853
70,0.004997,0.999996,0.813233,0.129031,0.981591,0.6371,0.773818,1.2,0.709999,1.0,0.7984,0.0249,0.8052,-3.2958
71,0.001415,0.999997,0.815594,0.161062,0.981364,0.634113,0.773665,1.2,0.719999,1.0,0.801,0.0222,0.8103,-3.2945
72,0.005353,0.999995,0.817922,0.239121,0.981314,0.646612,0.773831,1.2,0.729999,1.0,0.8035,0.0229,0.8029,-3.2931
73,0.009051,0.99999,0.820216,0.395964,0.981857,0.642785,0.774183,1.2,0.739999,1.0,0.806,0.0263,0.7731,-3.2687
74,0.005061,0.999992,0.822478,0.520313,0.982146,0.66766,0.77467,1.2,0.749999,1.0,0.8085,0.0261,0.729,-3.0007
75,0.068541,0.999982,0.824708,0.394313,0.982048,0.692301,0.775227,1.2,0.759999,1.0,0.8109,0.0736,0.7105,-3.1705
76,0.00182,0.999996,0.826907,0.251336,0.982324,0.683472,0.775525,1.2,0.769999,1.0,0.8133,0.0639,0.7163,-3.1784
77,0.006508,0.999996,0.829075,0.180848,0.982163,0.686435,0.775097,1.2,0.779999,1.0,0.8157,0.0592,0.7317,-3.2085
78,0.012882,0.999995,0.831212,0.15328,0.982799,0.670754,0.774604,1.2,0.789999,1.0,0.818,0.06,0.749,-3.2886
79,0.001359,0.999995,0.833319,0.150325,0.982334,0.669582,0.773975,1.2,0.799999,1.0,0.8203,0.052,0.7641,-3.2937
80,0.017553,0.999995,0.835397,0.163953,0.980975,0.672991,0.773682,1.2,0.809999,1.0,0.8226,0.0574,0.7749,-3.2921
81,0.022745,0.999996,0.837446,0.186825,0.98159,0.665274,0.77359,1.2,0.819999,1.0,0.8248,0.0658,0.7806,-3.2448
82,0.092797,0.999995,0.839467,0.2032,0.981754,0.69643,0.773818,1.2,0.829999,1.0,0.827,0.1256,0.783,-2.9248
83,0.012848,0.999995,0.84146,0.199158,0.983039,0.685114,0.774043,1.2,0.839998,1.0,0.8292,0.1164,0.7857,-2.9121
84,0.002438,0.999994,0.843425,0.183433,0.981875,0.682465,0.774116,1.2,0.849998,1.0,0.8313,0.1007,0.7903,-3.0075
85,0.003924,0.999977,0.845363,0.173755,0.981458,0.682559,0.773873,1.2,0.859998,1.0,0.8334,0.0886,0.7957,-3.0716
86,0.002703,0.999989,0.847274,0.18163,0.982199,0.66526,0.773439,1.2,0.869998,1.0,0.8355,0.0773,0.7991,-3.0456
87,0.002098,0.999988,0.84916,0.216607,0.98319,0.672884,0.77294,1.2,0.879998,1.0,0.8376,0.0673,0.7968,-3.1598
88,0.001309,0.99999,0.851019,0.290825,0.98194,0.671236,0.772532,1.2,0.889998,1.0,0.8396,0.0582,0.7836,-3.2425
89,0.003475,0.999987,0.852853,0.386036,0.980731,0.679853,0.772385,1.2,0.899998,1.0,0.8416,0.0521,0.7582,-3.2957
90,0.003005,0.999978,0.854662,0.378674,0.981244,0.692602,0.7725,1.2,0.909998,1.0,0.8435,0.0465,0.7377,-3.2369
91,0.002114,0.99999,0.856447,0.265312,0.981416,0.675799,0.772824,1.2,0.919997,1.0,0.8455,0.0411,0.7372,-3.2604
92,0.005509,0.999987,0.858207,0.178817,0.981878,0.68043,0.773321,1.2,0.929997,1.0,0.8474,0.0391,0.7498,-3.2746
93,0.005794,0.999973,0.859944,0.136024,0.981514,0.673634,0.773537,1.2,0.939997,1.0,0.8493,0.0376,0.7669,-3.2958
94,0.004717,0.999967,0.861657,0.121083,0.981905,0.666367,0.773513,1.2,0.949997,1.0,0.8511,0.0355,0.7837,-3.2804
95,0.00553,0.999979,0.863347,0.126754,0.981183,0.670126,0.773476,1.2,0.959996,1.0,0.853,0.0343,0.7972,-3.2619
96,0.001272,0.999983,0.865015,0.156118,0.981862,0.650754,0.773214,1.2,0.969996,1.0,0.8548,0.0301,0.8042,-3.2039
97,0.001896,0.999966,0.86666,0.224915,0.980666,0.660372,0.772872,1.2,0.979996,1.0,0.8566,0.027,0.7998,-3.2521
98,0.013265,0.999978,0.868283,0.351398,0.980273,0.673154,0.77296,1.2,0.989996,1.0,0.8583,0.0329,0.7771,-3.2913
99,0.02005,0.999948,0.869885,0.443122,0.983626,0.683662,0.773204,1.2,0.999995,1.0,0.8601,0.043,0.7441,-3.2883
100,0.003965,0.999985,0.871465,0.360964,0.982452,0.697239,0.773678,1.2,1.009995,1.0,0.8618,0.0395,0.7283,-3.2185
101,0.007941,0.999986,0.873024,0.250666,0.982634,0.68518,0.774019,1.2,1.019995,1.0,0.8635,0.0396,0.7315,-3.263
102,0.000266,0.999951,0.874563,0.189604,0.982836,0.686332,0.774208,1.2,1.029994,1.0,0.8651,0.0338,0.7433,-3.2708
103,0.000782,0.999923,0.876081,0.16581,0.981674,0.684509,0.774279,1.2,1.039994,1.0,0.8668,0.0293,0.757,-3.2864
104,0.001843,0.999971,0.877579,0.165188,0.981703,0.671702,0.774112,1.2,1.049993,1.0,0.8684,0.0263,0.7687,-3.2951
105,0.003859,0.999975,0.879058,0.179094,0.981684,0.678565,0.773957,1.2,1.059993,1.0,0.87,0.0253,0.7765,-3.2946
106,0.004523,0.999843,0.880517,0.195603,0.981824,0.669719,0.773648,1.2,1.069992,1.0,0.8716,0.0249,0.7807,-3.2826
107,0.000103,0.999941,0.881957,0.198082,0.981938,0.672072,0.773265,1.2,1.079991,1.0,0.8732,0.0212,0.7839,-3.2863
108,0.005005,0.999967,0.883378,0.182968,0.982215,0.676477,0.773153,1.2,1.089991,1.0,0.8747,0.0218,0.7889,-3.282
109,0.007071,0.99991,0.884781,0.165086,0.981664,0.663049,0.773152,1.2,1.09999,1.0,0.8762,0.0238,0.7958,-3.2286
110,0.002087,0.999961,0.886165,0.158181,0.981098,0.669899,0.773281,1.2,1.109989,1.0,0.8777,0.0218,0.8027,-3.2312
111,0.005927,0.999952,0.887531,0.17066,0.981991,0.664293,0.773316,1.2,1.119989,1.0,0.8792,0.023,0.8067,-3.1886
112,0.006411,0.998588,0.88888,0.213439,0.981759,0.667646,0.773679,1.2,1.129975,1.0,0.8808,0.0244,0.8038,-3.1971
113,0.00245,0.999953,0.890211,0.307265,0.983703,0.68005,0.774203,1.2,1.139974,1.0,0.8823,0.0225,0.7872,-3.2764
114,0.001395,0.999955,0.891524,0.440918,0.980928,0.675847,0.774796,1.2,1.149974,1.0,0.8836,0.0202,0.753,-3.2929
115,0.010808,0.999919,0.892821,0.434891,0.979301,0.696779,0.775537,1.2,1.159973,1.0,0.885,0.0253,0.7248,-3.2144
116,0.006044,0.999937,0.894101,0.287964,0.980229,0.696824,0.776075,1.2,1.169972,1.0,0.8864,0.026,0.7229,-3.2161
117,0.00279,0.999895,0.895365,0.186135,0.982603,0.691116,0.77538,1.2,1.179971,1.0,0.8878,0.0242,0.7366,-3.2646
118,0.005395,0.999924,0.896612,0.138837,0.982774,0.693227,0.775117,1.2,1.189971,1.0,0.8891,0.0246,0.7553,-3.2915
119,0.004116,0.999904,0.897843,0.122181,0.982624,0.669975,0.774484,1.2,1.19997,1.0,0.8904,0.024,0.7736,-3.2648
120,0.002819,0.999931,0.899059,0.126473,0.981882,0.673466,0.773984,1.2,1.209969,1.0,0.8917,0.0225,0.7886,-3.2379
121,0.009848,0.999921,0.900259,0.153245,0.982836,0.674687,0.77372,1.2,1.219968,1.0,0.893,0.0265,0.7974,-3.1875
122,0.001666,0.999904,0.901444,0.212595,0.981951,0.67095,0.773758,1.2,1.229967,1.0,0.8943,0.0238,0.7959,-3.1908
123,0.010347,0.999918,0.902613,0.309376,0.981971,0.687673,0.774162,1.2,1.239966,1.0,0.8956,0.028,0.7801,-3.2625
124,0.012868,0.999886,0.903768,0.372199,0.980028,0.685397,0.774685,1.2,1.249965,1.0,0.8968,0.0334,0.7573,-3.2825
125,0.000723,0.999873,0.904908,0.320734,0.981641,0.694908,0.775123,1.2,1.259964,1.0,0.898,0.029,0.7456,-3.2942
126,0.100112,0.999788,0.906034,0.243139,0.980481,0.71757,0.775403,1.2,1.269962,1.0,0.8993,0.0997,0.7473,-3.0699
127,0.010168,0.999867,0.907145,0.196768,0.981828,0.705728,0.774825,1.2,1.279961,1.0,0.9005,0.0924,0.7557,-3.0089
128,0.006096,0.99987,0.908242,0.180454,0.980638,0.709376,0.774422,1.2,1.289959,1.0,0.9016,0.0831,0.7653,-3.0495
129,0.025932,0.999848,0.909326,0.184632,0.983099,0.702582,0.773939,1.2,1.299958,1.0,0.9028,0.0901,0.7728,-2.8778
130,0.010335,0.999829,0.910395,0.199385,0.981485,0.704161,0.773784,1.2,1.309956,1.0,0.904,0.0843,0.777,-2.9131
131,0.044475,0.999835,0.911452,0.208599,0.982063,0.716623,0.773994,1.2,1.319954,1.0,0.9051,0.105,0.7792,-2.7396
132,0.043361,0.999896,0.912495,0.196546,0.982095,0.712035,0.774109,1.2,1.329953,1.0,0.9062,0.1218,0.7828,-2.412
133,0.005227,0.999856,0.913525,0.171352,0.98371,0.714222,0.774415,1.2,1.339952,1.0,0.9074,0.1075,0.7897,-2.5693
134,0.001346,0.999668,0.914542,0.151204,0.981342,0.70193,0.77454,1.2,1.349949,1.0,0.9085,0.0924,0.7986,-2.5748
135,0.001997,0.999626,0.915546,0.145772,0.981089,0.696984,0.77426,1.2,1.359945,1.0,0.9096,0.08,0.807,-2.6151
136,0.002733,0.999757,0.916538,0.160641,0.981473,0.698749,0.773652,1.2,1.369942,1.0,0.9107,0.0701,0.8119,-2.7113
137,0.002311,0.99979,0.917517,0.208233,0.982084,0.680898,0.77296,1.2,1.37994,1.0,0.9117,0.0613,0.8089,-2.6953
138,0.0007,0.999752,0.918484,0.319051,0.981171,0.693756,0.772657,1.2,1.389938,1.0,0.9128,0.0526,0.7897,-3.0198
139,0.001909,0.999656,0.91944,0.500613,0.985126,0.705222,0.772575,1.2,1.399934,1.0,0.9138,0.0462,0.7462,-3.2728
140,0.001866,0.999693,0.920383,0.504156,0.985167,0.715675,0.772811,1.2,1.409931,1.0,0.9148,0.0406,0.7087,-3.2646
141,0.003529,0.999612,0.921314,0.313217,0.981842,0.723238,0.773242,1.2,1.419927,1.0,0.9159,0.0372,0.7055,-3.2251
142,0.002738,0.999473,0.922234,0.194648,0.981669,0.702266,0.773868,1.2,1.429922,1.0,0.9169,0.0337,0.7205,-3.2897
143,0.004952,0.999392,0.923143,0.142703,0.980231,0.703286,0.774124,1.2,1.439916,1.0,0.9179,0.0323,0.7411,-3.2947
144,0.007401,0.999602,0.92404,0.125026,0.980463,0.698164,0.774189,1.2,1.449912,1.0,0.9189,0.033,0.7612,-3.2579
145,0.004766,0.999656,0.924927,0.12862,0.982472,0.688972,0.773943,1.2,1.459909,1.0,0.9198,0.0317,0.7778,-3.1813
146,0.002671,0.999653,0.925802,0.153256,0.981969,0.693589,0.77387,1.2,1.469905,1.0,0.9208,0.0289,0.7882,-3.1697
147,0.015536,0.999511,0.926667,0.203702,0.982851,0.683631,0.773381,1.2,1.4799,1.0,0.9217,0.0362,0.7894,-3.0574
148,0.054794,0.999415,0.927521,0.274669,0.983298,0.705039,0.773096,1.2,1.489894,1.0,0.9227,0.0719,0.7799,-2.8981
149,0.009092,0.999317,0.928364,0.312315,0.981736,0.711657,0.7734,1.2,1.499888,1.0,0.9236,0.0679,0.7661,-3.0619
