step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
43,0.999999,0.005407,0.734229,3.4628,0.141475,0.138588,0.678,0.77181,0.439999,1.0,0.7122,0.039,0.7864,1.0,0.98143
44,0.999999,0.008829,0.737774,3.4633,0.141493,0.125963,0.675,0.77231,0.449999,1.0,0.7161,0.0398,0.7995,1.0,0.98259
45,0.999986,0.006509,0.741264,3.4636,0.141506,0.133327,0.6724,0.77247,0.459999,1.0,0.7198,0.0387,0.8096,1.0,0.98225
46,0.999999,0.007024,0.744699,3.4636,0.141506,0.167273,0.6723,0.77266,0.469999,1.0,0.7236,0.0382,0.8131,1.0,0.98195
47,0.999986,0.014601,0.748081,3.4639,0.141519,0.251711,0.6789,0.77275,0.479999,1.0,0.7273,0.0434,0.8034,1.0,0.98299
48,0.999999,0.023529,0.751411,3.4644,0.141537,0.428814,0.6959,0.77306,0.489999,1.0,0.7309,0.0545,0.7685,1.0,0.9835
49,0.999999,0.521375,0.754689,3.4585,0.141295,0.569228,0.758,0.77353,0.499999,1.0,0.7344,0.1964,0.7179,1.0,0.97808
50,0.999998,0.071162,0.757917,3.4598,0.141351,0.408,0.7714,0.77426,0.509999,1.0,0.738,0.2203,0.699,1.0,0.98201
51,0.999999,0.008382,0.761096,3.461,0.141399,0.247891,0.7625,0.77488,0.519999,1.0,0.7414,0.1935,0.707,1.0,0.98243
52,0.999999,0.006855,0.764226,3.4614,0.141414,0.173346,0.7512,0.77479,0.529999,1.0,0.7449,0.1696,0.7249,1.0,0.98236
53,0.999999,0.002749,0.767308,3.4615,0.141421,0.144027,0.7391,0.77439,0.539999,1.0,0.7482,0.1462,0.7446,1.0,0.98167
54,0.999999,0.007276,0.770345,3.4622,0.141448,0.139854,0.7296,0.77394,0.549999,1.0,0.7515,0.1298,0.7619,1.0,0.98219
55,0.999998,0.002616,0.773335,3.4629,0.141477,0.153827,0.721,0.7733,0.559999,1.0,0.7548,0.1123,0.7745,1.0,0.98133
56,0.999997,0.003726,0.77628,3.4622,0.141449,0.181784,0.7154,0.77257,0.569999,1.0,0.758,0.0982,0.7811,1.0,0.98195
57,0.999997,0.00142,0.779182,3.4628,0.141474,0.211485,0.7116,0.77189,0.579999,1.0,0.7612,0.0846,0.7822,1.0,0.98229
58,0.999968,0.004751,0.78204,3.4632,0.141491,0.220815,0.7098,0.77146,0.589999,1.0,0.7643,0.0754,0.7818,1.0,0.98217
59,0.999989,0.003121,0.784855,3.4632,0.141488,0.207071,0.7073,0.77135,0.599999,1.0,0.7674,0.0665,0.7834,1.0,0.98218
60,0.999998,0.005676,0.787629,3.4633,0.141494,0.191829,0.7051,0.77158,0.609999,1.0,0.7704,0.0607,0.7871,1.0,0.98123
61,0.999994,0.000273,0.790362,3.464,0.141522,0.191053,0.7021,0.77198,0.619999,1.0,0.7734,0.0518,0.7904,1.0,0.98213
62,0.999995,0.002324,0.793055,3.4642,0.141531,0.213401,0.7012,0.77236,0.629998,1.0,0.7764,0.0458,0.7898,1.0,0.98163
